layers,from,to,weight
l4ORP_l5PO,Administrate healthcare services,National government buildings,1
l4ORP_l5PO,Administrate healthcare services,Parliamentary buildings,1
l4ORP_l5PO,Administrate healthcare services,Prison and jails,1
l4ORP_l5PO,Administrate healthcare services,Sexual health clinics,1
l4ORP_l5PO,Administrate large-scale transport of goods or people,Air bases,1
l4ORP_l5PO,Administrate large-scale transport of goods or people,Airports (major),1
l4ORP_l5PO,Administrate large-scale transport of goods or people,Airports (minor),1
l4ORP_l5PO,Administrate large-scale transport of goods or people,Armed forces headquarters,1
l4ORP_l5PO,Administrate large-scale transport of goods or people,Construction and engineering,1
l4ORP_l5PO,Administrate large-scale transport of goods or people,Distribution centres,1
l4ORP_l5PO,Administrate large-scale transport of goods or people,"Marinas, boatyards, and ferry terminals",1
l4ORP_l5PO,Administrate large-scale transport of goods or people,Retail headquarters,1
l4ORP_l5PO,Administrate large-scale transport of goods or people,Transport providers and control centres,1
l4ORP_l5PO,Administrate political campaigns,Political offices,1
l4ORP_l5PO,Administrate political duties,Council offices,1
l4ORP_l5PO,Administrate political duties,Diplomatic buildings,1
l4ORP_l5PO,Administrate political duties,National government buildings,1
l4ORP_l5PO,Administrate political duties,Parliamentary buildings,1
l4ORP_l5PO,Administrate political duties,Political offices,1
l4ORP_l5PO,Administrate provision of electricity,Electricity provider offices,1
l4ORP_l5PO,Administrate provision of gas,Gas provider offices,1
l4ORP_l5PO,Administrate provision of potable water,Council offices,1
l4ORP_l5PO,Administrate provision of potable water,Water provider offices,1
l4ORP_l5PO,Administrate provision of telecommunications,Broadband provider offices,1
l4ORP_l5PO,Administrate provision of telecommunications,Broadcasting,1
l4ORP_l5PO,Administrate provision of temporary accommodation,Assisted living,1
l4ORP_l5PO,Administrate provision of temporary accommodation,Charity organisations,1
l4ORP_l5PO,Administrate provision of temporary accommodation,Council offices,1
l4ORP_l5PO,Administrate provision of temporary accommodation,Homeless shelters,1
l4ORP_l5PO,Administrate provision of temporary accommodation,Social work offices,1
l4ORP_l5PO,Administrate provision of traffic information,Air bases,1
l4ORP_l5PO,Administrate provision of traffic information,Airports (major),1
l4ORP_l5PO,Administrate provision of traffic information,Airports (minor),1
l4ORP_l5PO,Administrate provision of traffic information,Broadcasting,1
l4ORP_l5PO,Administrate provision of traffic information,Bus stations,1
l4ORP_l5PO,Administrate provision of traffic information,Council offices,1
l4ORP_l5PO,Administrate provision of traffic information,Police stations,1
l4ORP_l5PO,Administrate provision of traffic information,Subway stations,1
l4ORP_l5PO,Administrate provision of traffic information,Train stations (major),1
l4ORP_l5PO,Administrate provision of traffic information,Train stations (minor),1
l4ORP_l5PO,Administrate provision of traffic information,Transport providers and control centres,1
l4ORP_l5PO,Administrate provision of wastewater services,Council offices,1
l4ORP_l5PO,Administrate provision of wastewater services,Water provider offices,1
l4ORP_l5PO,Administrate retail activity,Auction houses,1
l4ORP_l5PO,Administrate retail activity,IT software and services,1
l4ORP_l5PO,Administrate retail activity,Retail headquarters,1
l4ORP_l5PO,Administrate taxes,Accountancy firms,1
l4ORP_l5PO,Administrate taxes,Council offices,1
l4ORP_l5PO,Administrate taxes,National government buildings,1
l4ORP_l5PO,Administrate taxes,Parliamentary buildings,1
l4ORP_l5PO,Administrate taxes,Post offices,1
l4ORP_l5PO,Administrate taxes,Toll booths and weighbridges,1
l4ORP_l5PO,Administrate taxes,Vehicle impounds,1
l4ORP_l5PO,Administrate transport to healthcare services,Ambulance stations,1
l4ORP_l5PO,Administrate transport to healthcare services,Healthcare outpatient services,1
l4ORP_l5PO,Administrate transport to healthcare services,Hospitals (general),1
l4ORP_l5PO,Administrate transport to healthcare services,Hospitals (with A&E),1
l4ORP_l5PO,Administrate transport to healthcare services,Lifeboat stations,1
l4ORP_l5PO,Administrate transport to healthcare services,Transport providers and control centres,1
l4ORP_l5PO,Administrate waste and recycling,Council offices,1
l4ORP_l5PO,Administrate waste and recycling,Waste collection service offices,1
l4ORP_l5PO,Advise carers,Charity organisations,1
l4ORP_l5PO,Advise carers,Citizens Advice Bureaus,1
l4ORP_l5PO,Advise carers,Community centres,1
l4ORP_l5PO,Advise carers,Council offices,1
l4ORP_l5PO,Advise carers,Day centres,1
l4ORP_l5PO,Advise carers,Healthcare (physiotherapy),1
l4ORP_l5PO,Advise carers,Healthcare outpatient services,1
l4ORP_l5PO,Advise carers,Hospitals (general),1
l4ORP_l5PO,Advise carers,Hospitals (with A&E),1
l4ORP_l5PO,Advise carers,Medical practices,1
l4ORP_l5PO,Advise carers,Mental health services,1
l4ORP_l5PO,Advise carers,Schools,1
l4ORP_l5PO,Advise carers,Social work offices,1
l4ORP_l5PO,Advise on community activities,Agriculture and aquaculture,1
l4ORP_l5PO,Advise on community activities,Assisted living,1
l4ORP_l5PO,Advise on community activities,Bars and nightclubs,1
l4ORP_l5PO,Advise on community activities,Botanical gardens,1
l4ORP_l5PO,Advise on community activities,Cafes,1
l4ORP_l5PO,Advise on community activities,Charity organisations,1
l4ORP_l5PO,Advise on community activities,Children's clubs,1
l4ORP_l5PO,Advise on community activities,Citizens Advice Bureaus,1
l4ORP_l5PO,Advise on community activities,Community centres,1
l4ORP_l5PO,Advise on community activities,Conference and exhibition centres (animal racing),1
l4ORP_l5PO,Advise on community activities,Conference and exhibition centres (general),1
l4ORP_l5PO,Advise on community activities,Council offices,1
l4ORP_l5PO,Advise on community activities,Creative spaces,1
l4ORP_l5PO,Advise on community activities,Day centres,1
l4ORP_l5PO,Advise on community activities,Eateries,1
l4ORP_l5PO,Advise on community activities,Events management,1
l4ORP_l5PO,Advise on community activities,Food banks,1
l4ORP_l5PO,Advise on community activities,Healthcare outpatient services,1
l4ORP_l5PO,Advise on community activities,Higher education,1
l4ORP_l5PO,Advise on community activities,Hotels,1
l4ORP_l5PO,Advise on community activities,Learned societies,1
l4ORP_l5PO,Advise on community activities,Libraries and archives,1
l4ORP_l5PO,Advise on community activities,Medical practices,1
l4ORP_l5PO,Advise on community activities,Mental health services,1
l4ORP_l5PO,Advise on community activities,Museums and art galleries,1
l4ORP_l5PO,Advise on community activities,Music and theatre venues,1
l4ORP_l5PO,Advise on community activities,Nurseries,1
l4ORP_l5PO,Advise on community activities,Other discretionary services,1
l4ORP_l5PO,Advise on community activities,Police stations,1
l4ORP_l5PO,Advise on community activities,Post offices,1
l4ORP_l5PO,Advise on community activities,Public information boards,1
l4ORP_l5PO,Advise on community activities,Religious buildings,1
l4ORP_l5PO,Advise on community activities,Schools,1
l4ORP_l5PO,Advise on community activities,Smaller food markets,1
l4ORP_l5PO,Advise on community activities,Social work offices,1
l4ORP_l5PO,Advise on community activities,Sports clubhouses,1
l4ORP_l5PO,Advise on community activities,Sports facilities (indoor),1
l4ORP_l5PO,Advise on community activities,"Sports facilities (outdoor, impermeable, with club)",1
l4ORP_l5PO,Advise on community activities,"Sports facilities (outdoor, permeable, with club)",1
l4ORP_l5PO,Advise on community activities,Supermarkets,1
l4ORP_l5PO,Advise on community activities,Tourism offices,1
l4ORP_l5PO,Advise on employment issues,Accountancy firms,1
l4ORP_l5PO,Advise on employment issues,Business services,1
l4ORP_l5PO,Advise on employment issues,Career and employment support services,1
l4ORP_l5PO,Advise on employment issues,Citizens Advice Bureaus,1
l4ORP_l5PO,Advise on employment issues,Diplomatic buildings,1
l4ORP_l5PO,Advise on employment issues,Higher education,1
l4ORP_l5PO,Advise on employment issues,Hospitals (general),1
l4ORP_l5PO,Advise on employment issues,Hospitals (with A&E),1
l4ORP_l5PO,Advise on employment issues,Legal services,1
l4ORP_l5PO,Advise on employment issues,Medical practices,1
l4ORP_l5PO,Advise on employment issues,Schools,1
l4ORP_l5PO,Advise on employment issues,Social work offices,1
l4ORP_l5PO,Advise on employment issues,Training centres,1
l4ORP_l5PO,Advise on employment issues,Union offices,1
l4ORP_l5PO,Advise or set government policy,Charity organisations,1
l4ORP_l5PO,Advise or set government policy,Council offices,1
l4ORP_l5PO,Advise or set government policy,Environmental regulators,1
l4ORP_l5PO,Advise or set government policy,Learned societies,1
l4ORP_l5PO,Advise or set government policy,National government buildings,1
l4ORP_l5PO,Advise or set government policy,Parliamentary buildings,1
l4ORP_l5PO,Advise or set government policy,Political offices,1
l4ORP_l5PO,Advise or set government policy,Research and consulting services,1
l4ORP_l5PO,Allow road crossing,Bridges,1
l4ORP_l5PO,Allow road crossing,Crossings,1
l4ORP_l5PO,Allow road crossing,Road traffic lights and signage,1
l4ORP_l5PO,Allow road crossing,Traffic calming measures,1
l4ORP_l5PO,Animal rescue,Animal shelters,1
l4ORP_l5PO,Animal rescue,Aquariums,1
l4ORP_l5PO,Animal rescue,Charity organisations,1
l4ORP_l5PO,Animal rescue,Fire stations,1
l4ORP_l5PO,Animal rescue,Police stations,1
l4ORP_l5PO,Animal rescue,Veterinary practices,1
l4ORP_l5PO,Animal rescue,Zoos,1
l4ORP_l5PO,Calms traffic,Police stations,1
l4ORP_l5PO,Calms traffic,Rail signalling and switches,1
l4ORP_l5PO,Calms traffic,Road traffic lights and signage,1
l4ORP_l5PO,Calms traffic,Traffic calming measures,1
l4ORP_l5PO,Charges electric vehicles,EV charging stations,1
l4ORP_l5PO,Charges electric vehicles,Vehicle maintenance services,1
l4ORP_l5PO,Connect buildings to services,Broadband provider offices,1
l4ORP_l5PO,Connect buildings to services,Council offices,1
l4ORP_l5PO,Connect buildings to services,Gas provider offices,1
l4ORP_l5PO,Connect buildings to services,Utility trades,1
l4ORP_l5PO,Connect buildings to services,Water provider offices,1
l4ORP_l5PO,Construct buildings,Construction and engineering,1
l4ORP_l5PO,Construct buildings,Exterior building trades,1
l4ORP_l5PO,Coordinate construction work,Construction and engineering,1
l4ORP_l5PO,Criminal investigation,Courthouses,1
l4ORP_l5PO,Criminal investigation,Legal services,1
l4ORP_l5PO,Criminal investigation,Medical laboratories,1
l4ORP_l5PO,Criminal investigation,Police stations,1
l4ORP_l5PO,Criminal investigation,Security services,1
l4ORP_l5PO,Criminal investigation,Sexual health clinics,1
l4ORP_l5PO,Criminal investigation,Social work offices,1
l4ORP_l5PO,Design buildings and urban spaces,Research and consulting services,1
l4ORP_l5PO,Direct traffic,Air bases,1
l4ORP_l5PO,Direct traffic,Airports (major),1
l4ORP_l5PO,Direct traffic,Airports (minor),1
l4ORP_l5PO,Direct traffic,"Barriers, gates, and fences",1
l4ORP_l5PO,Direct traffic,Bridges,1
l4ORP_l5PO,Direct traffic,Bus stops,1
l4ORP_l5PO,Direct traffic,Canals,1
l4ORP_l5PO,Direct traffic,Crossings,1
l4ORP_l5PO,Direct traffic,EV charging stations,1
l4ORP_l5PO,Direct traffic,Fire stations,1
l4ORP_l5PO,Direct traffic,Helipads,1
l4ORP_l5PO,Direct traffic,Lifeboat stations,1
l4ORP_l5PO,Direct traffic,"Marinas, boatyards, and ferry terminals",1
l4ORP_l5PO,Direct traffic,Piers and boardwalks,1
l4ORP_l5PO,Direct traffic,Police stations,1
l4ORP_l5PO,Direct traffic,Public information boards,1
l4ORP_l5PO,Direct traffic,Rail signalling and switches,1
l4ORP_l5PO,Direct traffic,Rivers and streams,1
l4ORP_l5PO,Direct traffic,Road traffic lights and signage,1
l4ORP_l5PO,Direct traffic,Roads (major) and railways,1
l4ORP_l5PO,Direct traffic,Roads (minor) and pathways,1
l4ORP_l5PO,Direct traffic,Seas and tidal range,1
l4ORP_l5PO,Direct traffic,Street lights,1
l4ORP_l5PO,Direct traffic,Subway stations,1
l4ORP_l5PO,Direct traffic,Taxi ranks,1
l4ORP_l5PO,Direct traffic,Toll booths and weighbridges,1
l4ORP_l5PO,Direct traffic,Traffic calming measures,1
l4ORP_l5PO,Direct traffic,Train stations (major),1
l4ORP_l5PO,Direct traffic,Train stations (minor),1
l4ORP_l5PO,Direct traffic,Tram stops,1
l4ORP_l5PO,Direct traffic,Tunnels,1
l4ORP_l5PO,Dispense medicines,Assisted living,1
l4ORP_l5PO,Dispense medicines,Hospitals (general),1
l4ORP_l5PO,Dispense medicines,Hospitals (with A&E),1
l4ORP_l5PO,Dispense medicines,Medical practices,1
l4ORP_l5PO,Dispense medicines,Pharmacies,1
l4ORP_l5PO,Display items of significance,Agriculture and aquaculture,1
l4ORP_l5PO,Display items of significance,Aquariums,1
l4ORP_l5PO,Display items of significance,Auction houses,1
l4ORP_l5PO,Display items of significance,Botanical gardens,1
l4ORP_l5PO,Display items of significance,Castles and fortifications,1
l4ORP_l5PO,Display items of significance,Cinemas,1
l4ORP_l5PO,Display items of significance,Community centres,1
l4ORP_l5PO,Display items of significance,Conference and exhibition centres (animal racing),1
l4ORP_l5PO,Display items of significance,Conference and exhibition centres (general),1
l4ORP_l5PO,Display items of significance,Creative spaces,1
l4ORP_l5PO,Display items of significance,Diplomatic buildings,1
l4ORP_l5PO,Display items of significance,Higher education,1
l4ORP_l5PO,Display items of significance,Historic points of interest,1
l4ORP_l5PO,Display items of significance,Learned societies,1
l4ORP_l5PO,Display items of significance,Libraries and archives,1
l4ORP_l5PO,Display items of significance,Museums and art galleries,1
l4ORP_l5PO,Display items of significance,Music and theatre venues,1
l4ORP_l5PO,Display items of significance,Nature reserves,1
l4ORP_l5PO,Display items of significance,Observatories,1
l4ORP_l5PO,Display items of significance,Parliamentary buildings,1
l4ORP_l5PO,Display items of significance,Public art,1
l4ORP_l5PO,Display items of significance,Registrar offices,1
l4ORP_l5PO,Display items of significance,Religious buildings,1
l4ORP_l5PO,Display items of significance,Town squares,1
l4ORP_l5PO,Display items of significance,Zoos,1
l4ORP_l5PO,Dispose waste and recycling,Integrated waste facilities,1
l4ORP_l5PO,Dispose waste and recycling,Landfills and endpoint waste sites,1
l4ORP_l5PO,Enforce building standards,Council offices,1
l4ORP_l5PO,Enforce environmental standards,Council offices,1
l4ORP_l5PO,Enforce environmental standards,Environmental regulators,1
l4ORP_l5PO,Enforce food standards,Council offices,1
l4ORP_l5PO,Facilitate creative expression,Apparel retail,1
l4ORP_l5PO,Facilitate creative expression,Auction houses,1
l4ORP_l5PO,Facilitate creative expression,Beauty services,1
l4ORP_l5PO,Facilitate creative expression,Botanical gardens,1
l4ORP_l5PO,Facilitate creative expression,Broadcasting,1
l4ORP_l5PO,Facilitate creative expression,Charity organisations,1
l4ORP_l5PO,Facilitate creative expression,Children's clubs,1
l4ORP_l5PO,Facilitate creative expression,Community centres,1
l4ORP_l5PO,Facilitate creative expression,Conference and exhibition centres (animal racing),1
l4ORP_l5PO,Facilitate creative expression,Conference and exhibition centres (general),1
l4ORP_l5PO,Facilitate creative expression,Creative spaces,1
l4ORP_l5PO,Facilitate creative expression,Day centres,1
l4ORP_l5PO,Facilitate creative expression,Events management,1
l4ORP_l5PO,Facilitate creative expression,Furnishing retail,1
l4ORP_l5PO,Facilitate creative expression,Furnishing services,1
l4ORP_l5PO,Facilitate creative expression,Higher education,1
l4ORP_l5PO,Facilitate creative expression,Home and outdoor maintenance retail,1
l4ORP_l5PO,Facilitate creative expression,Libraries and archives,1
l4ORP_l5PO,Facilitate creative expression,Multi-line retail,1
l4ORP_l5PO,Facilitate creative expression,Museums and art galleries,1
l4ORP_l5PO,Facilitate creative expression,Music and theatre venues,1
l4ORP_l5PO,Facilitate creative expression,Nurseries,1
l4ORP_l5PO,Facilitate creative expression,Other discretionary goods retail,1
l4ORP_l5PO,Facilitate creative expression,Other discretionary services,1
l4ORP_l5PO,Facilitate creative expression,Personal devices,1
l4ORP_l5PO,Facilitate creative expression,Prison and jails,1
l4ORP_l5PO,Facilitate creative expression,Public art,1
l4ORP_l5PO,Facilitate creative expression,Religious buildings,1
l4ORP_l5PO,Facilitate creative expression,Residential gardens,1
l4ORP_l5PO,Facilitate creative expression,Residential properties,1
l4ORP_l5PO,Facilitate creative expression,Schools,1
l4ORP_l5PO,Facilitate creative expression,Shopping centres,1
l4ORP_l5PO,Facilitate cultural events,Agriculture and aquaculture,1
l4ORP_l5PO,Facilitate cultural events,Aquariums,1
l4ORP_l5PO,Facilitate cultural events,Bars and nightclubs,1
l4ORP_l5PO,Facilitate cultural events,Beaches,1
l4ORP_l5PO,Facilitate cultural events,Botanical gardens,1
l4ORP_l5PO,Facilitate cultural events,Broadcasting,1
l4ORP_l5PO,Facilitate cultural events,Casinos and gaming,1
l4ORP_l5PO,Facilitate cultural events,Castles and fortifications,1
l4ORP_l5PO,Facilitate cultural events,Cinemas,1
l4ORP_l5PO,Facilitate cultural events,Community centres,1
l4ORP_l5PO,Facilitate cultural events,Conference and exhibition centres (animal racing),1
l4ORP_l5PO,Facilitate cultural events,Conference and exhibition centres (general),1
l4ORP_l5PO,Facilitate cultural events,Creative spaces,1
l4ORP_l5PO,Facilitate cultural events,Dining and catering services,1
l4ORP_l5PO,Facilitate cultural events,Eateries,1
l4ORP_l5PO,Facilitate cultural events,Events management,1
l4ORP_l5PO,Facilitate cultural events,Higher education,1
l4ORP_l5PO,Facilitate cultural events,Museums and art galleries,1
l4ORP_l5PO,Facilitate cultural events,Music and theatre venues,1
l4ORP_l5PO,Facilitate cultural events,Observatories,1
l4ORP_l5PO,Facilitate cultural events,Parks,1
l4ORP_l5PO,Facilitate cultural events,Piers and boardwalks,1
l4ORP_l5PO,Facilitate cultural events,Religious buildings,1
l4ORP_l5PO,Facilitate cultural events,Schools,1
l4ORP_l5PO,Facilitate cultural events,Sports clubhouses,1
l4ORP_l5PO,Facilitate cultural events,Sports facilities (indoor),1
l4ORP_l5PO,Facilitate cultural events,"Sports facilities (outdoor, impermeable)",1
l4ORP_l5PO,Facilitate cultural events,"Sports facilities (outdoor, impermeable, with club)",1
l4ORP_l5PO,Facilitate cultural events,"Sports facilities (outdoor, permeable)",1
l4ORP_l5PO,Facilitate cultural events,"Sports facilities (outdoor, permeable, with club)",1
l4ORP_l5PO,Facilitate cultural events,Stables,1
l4ORP_l5PO,Facilitate cultural events,Tourism offices,1
l4ORP_l5PO,Facilitate cultural events,Town squares,1
l4ORP_l5PO,Facilitate cultural events,Traveller sites,1
l4ORP_l5PO,Facilitate cultural events,Zoos,1
l4ORP_l5PO,Facilitate leisure or recreation,Agriculture and aquaculture,1
l4ORP_l5PO,Facilitate leisure or recreation,Airports (major),1
l4ORP_l5PO,Facilitate leisure or recreation,Airports (minor),1
l4ORP_l5PO,Facilitate leisure or recreation,Apparel retail,1
l4ORP_l5PO,Facilitate leisure or recreation,Assisted living,1
l4ORP_l5PO,Facilitate leisure or recreation,Attractions,1
l4ORP_l5PO,Facilitate leisure or recreation,Automotive retail,1
l4ORP_l5PO,Facilitate leisure or recreation,Bars and nightclubs,1
l4ORP_l5PO,Facilitate leisure or recreation,Beaches,1
l4ORP_l5PO,Facilitate leisure or recreation,Beauty services,1
l4ORP_l5PO,Facilitate leisure or recreation,Bicycles,1
l4ORP_l5PO,Facilitate leisure or recreation,Botanical gardens,1
l4ORP_l5PO,Facilitate leisure or recreation,Broadcasting,1
l4ORP_l5PO,Facilitate leisure or recreation,Cafes,1
l4ORP_l5PO,Facilitate leisure or recreation,Camping grounds,1
l4ORP_l5PO,Facilitate leisure or recreation,Canals,1
l4ORP_l5PO,Facilitate leisure or recreation,Casinos and gaming,1
l4ORP_l5PO,Facilitate leisure or recreation,Castles and fortifications,1
l4ORP_l5PO,Facilitate leisure or recreation,Charity shops,1
l4ORP_l5PO,Facilitate leisure or recreation,Children's clubs,1
l4ORP_l5PO,Facilitate leisure or recreation,Cinemas,1
l4ORP_l5PO,Facilitate leisure or recreation,Common green areas,1
l4ORP_l5PO,Facilitate leisure or recreation,Community centres,1
l4ORP_l5PO,Facilitate leisure or recreation,Computer and electronics shops,1
l4ORP_l5PO,Facilitate leisure or recreation,Conference and exhibition centres (animal racing),1
l4ORP_l5PO,Facilitate leisure or recreation,Conference and exhibition centres (general),1
l4ORP_l5PO,Facilitate leisure or recreation,Creative spaces,1
l4ORP_l5PO,Facilitate leisure or recreation,Day centres,1
l4ORP_l5PO,Facilitate leisure or recreation,Eateries,1
l4ORP_l5PO,Facilitate leisure or recreation,Events management,1
l4ORP_l5PO,Facilitate leisure or recreation,Furnishing retail,1
l4ORP_l5PO,Facilitate leisure or recreation,Grasslands and meadows,1
l4ORP_l5PO,Facilitate leisure or recreation,Healthcare (alternative),1
l4ORP_l5PO,Facilitate leisure or recreation,Higher education,1
l4ORP_l5PO,Facilitate leisure or recreation,Historic points of interest,1
l4ORP_l5PO,Facilitate leisure or recreation,Home and outdoor maintenance retail,1
l4ORP_l5PO,Facilitate leisure or recreation,Hotels,1
l4ORP_l5PO,Facilitate leisure or recreation,Internet cafes,1
l4ORP_l5PO,Facilitate leisure or recreation,Lakes and ponds,1
l4ORP_l5PO,Facilitate leisure or recreation,Learned societies,1
l4ORP_l5PO,Facilitate leisure or recreation,Libraries and archives,1
l4ORP_l5PO,Facilitate leisure or recreation,"Marinas, boatyards, and ferry terminals",1
l4ORP_l5PO,Facilitate leisure or recreation,Multi-line retail,1
l4ORP_l5PO,Facilitate leisure or recreation,Museums and art galleries,1
l4ORP_l5PO,Facilitate leisure or recreation,Music and theatre venues,1
l4ORP_l5PO,Facilitate leisure or recreation,Nature reserves,1
l4ORP_l5PO,Facilitate leisure or recreation,Nurseries,1
l4ORP_l5PO,Facilitate leisure or recreation,Observatories,1
l4ORP_l5PO,Facilitate leisure or recreation,Off-licenses,1
l4ORP_l5PO,Facilitate leisure or recreation,Other communal resources,1
l4ORP_l5PO,Facilitate leisure or recreation,Other discretionary goods retail,1
l4ORP_l5PO,Facilitate leisure or recreation,Other discretionary services,1
l4ORP_l5PO,Facilitate leisure or recreation,Other staple goods retail,1
l4ORP_l5PO,Facilitate leisure or recreation,Parks,1
l4ORP_l5PO,Facilitate leisure or recreation,Piers and boardwalks,1
l4ORP_l5PO,Facilitate leisure or recreation,Playgrounds (indoor),1
l4ORP_l5PO,Facilitate leisure or recreation,Playgrounds (outdoor),1
l4ORP_l5PO,Facilitate leisure or recreation,Private motor vehicles,1
l4ORP_l5PO,Facilitate leisure or recreation,Public art,1
l4ORP_l5PO,Facilitate leisure or recreation,Public information boards,1
l4ORP_l5PO,Facilitate leisure or recreation,Registrar offices,1
l4ORP_l5PO,Facilitate leisure or recreation,Religious buildings,1
l4ORP_l5PO,Facilitate leisure or recreation,Reservoirs,1
l4ORP_l5PO,Facilitate leisure or recreation,Residential gardens,1
l4ORP_l5PO,Facilitate leisure or recreation,Rivers and streams,1
l4ORP_l5PO,Facilitate leisure or recreation,Roads (minor) and pathways,1
l4ORP_l5PO,Facilitate leisure or recreation,Schools,1
l4ORP_l5PO,Facilitate leisure or recreation,Shopping centres,1
l4ORP_l5PO,Facilitate leisure or recreation,Smaller food markets,1
l4ORP_l5PO,Facilitate leisure or recreation,Sports clubhouses,1
l4ORP_l5PO,Facilitate leisure or recreation,Sports facilities (indoor),1
l4ORP_l5PO,Facilitate leisure or recreation,"Sports facilities (outdoor, impermeable)",1
l4ORP_l5PO,Facilitate leisure or recreation,"Sports facilities (outdoor, impermeable, with club)",1
l4ORP_l5PO,Facilitate leisure or recreation,"Sports facilities (outdoor, permeable)",1
l4ORP_l5PO,Facilitate leisure or recreation,"Sports facilities (outdoor, permeable, with club)",1
l4ORP_l5PO,Facilitate leisure or recreation,Stables,1
l4ORP_l5PO,Facilitate leisure or recreation,Supermarkets,1
l4ORP_l5PO,Facilitate leisure or recreation,Takeaways and fast food,1
l4ORP_l5PO,Facilitate leisure or recreation,Town squares,1
l4ORP_l5PO,Facilitate leisure or recreation,Training centres,1
l4ORP_l5PO,Facilitate leisure or recreation,Traveller sites,1
l4ORP_l5PO,Facilitate leisure or recreation,Vehicle sharing points,1
l4ORP_l5PO,Facilitate leisure or recreation,Wetlands,1
l4ORP_l5PO,Facilitate leisure or recreation,Wildlife,1
l4ORP_l5PO,Facilitate registrar services,Council offices,1
l4ORP_l5PO,Facilitate registrar services,Registrar offices,1
l4ORP_l5PO,Generate electricity,Independent or renewable power sources,1
l4ORP_l5PO,Generate electricity,Integrated waste facilities,1
l4ORP_l5PO,Generate electricity,Landfills and endpoint waste sites,1
l4ORP_l5PO,Generate electricity,Power stations,1
l4ORP_l5PO,Generate traffic information,Air bases,1
l4ORP_l5PO,Generate traffic information,Airports (major),1
l4ORP_l5PO,Generate traffic information,Airports (minor),1
l4ORP_l5PO,Generate traffic information,Broadcasting,1
l4ORP_l5PO,Generate traffic information,Bus stations,1
l4ORP_l5PO,Generate traffic information,Buses and trams,1
l4ORP_l5PO,Generate traffic information,Emergency vehicles,1
l4ORP_l5PO,Generate traffic information,Lorries,1
l4ORP_l5PO,Generate traffic information,Maintenance vehicles,1
l4ORP_l5PO,Generate traffic information,Personal devices,1
l4ORP_l5PO,Generate traffic information,Subway stations,1
l4ORP_l5PO,Generate traffic information,Subway trains,1
l4ORP_l5PO,Generate traffic information,Surveillance cameras,1
l4ORP_l5PO,Generate traffic information,Train stations (major),1
l4ORP_l5PO,Generate traffic information,Train stations (minor),1
l4ORP_l5PO,Generate traffic information,Trains,1
l4ORP_l5PO,Grow food,Agriculture and aquaculture,1
l4ORP_l5PO,Houses animals,Agriculture and aquaculture,1
l4ORP_l5PO,Houses animals,Animal care,1
l4ORP_l5PO,Houses animals,Animal shelters,1
l4ORP_l5PO,Houses animals,Aquariums,1
l4ORP_l5PO,Houses animals,Conference and exhibition centres (animal racing),1
l4ORP_l5PO,Houses animals,Residential gardens,1
l4ORP_l5PO,Houses animals,Residential properties,1
l4ORP_l5PO,Houses animals,Stables,1
l4ORP_l5PO,Houses animals,Veterinary practices,1
l4ORP_l5PO,Houses animals,Zoos,1
l4ORP_l5PO,Maintain clothing,Apparel services,1
l4ORP_l5PO,Maintain clothing,Assisted living,1
l4ORP_l5PO,Maintain clothing,Homeless shelters,1
l4ORP_l5PO,Maintain clothing,Locksmiths and cobblers,1
l4ORP_l5PO,Maintain clothing,Residential properties,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Assisted living,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Charity organisations,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Community centres,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Council offices,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Environmental regulators,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Home and outdoor maintenance services,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Homeless shelters,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Hospitals (general),1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Hospitals (with A&E),1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Hotels,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Interior building trades,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Locksmiths and cobblers,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Maintenance vehicles,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Nature reserves,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Prison and jails,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Residential properties,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Stormwater retention,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Utility trades,1
l4ORP_l5PO,Maintain private indoor and public outdoor spaces,Waste collection service offices,1
l4ORP_l5PO,Maintain roads,Construction and engineering,1
l4ORP_l5PO,Maintain roads,Council offices,1
l4ORP_l5PO,Maintain roads,Maintenance vehicles,1
l4ORP_l5PO,Maintain roads,Toll booths and weighbridges,1
l4ORP_l5PO,Maintain vehicles,Air bases,1
l4ORP_l5PO,Maintain vehicles,Airports (major),1
l4ORP_l5PO,Maintain vehicles,Airports (minor),1
l4ORP_l5PO,Maintain vehicles,Ambulance stations,1
l4ORP_l5PO,Maintain vehicles,Automotive retail,1
